scenario,seed,episode,nodes,source_nodes,edges,density,average_degree,average_clustering_coefficient,graph_connected,average_shortest_path_length,effective_diameter,ego_component_size,ego_component_fraction,ego_degree,ego_degree_centrality,ego_betweenness_centrality,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop,edge_count_OOR,edge_count_CLOR,edge_count_CWOR,edge_count_SOR,edge_count_POR,node_type_count_ego_device,node_type_count_environmental_sensor,node_type_count_infrastructure_sensor,node_type_count_opportunistic_object,node_type_count_personal_device,node_type_count_vehicle_sensor,node_type_count_wearable,capability_count_place,capability_count_activity,capability_count_env_load,capability_count_resource_state
noisy_untrusted_external,7,5,61,60,99,0.054098360655737705,3.2459016393442623,0.052537080405932864,True,3.6382513661202185,5.0,61,1.0,5,0.08333333333333333,0.15615364547567936,5,29,52,60,4,17,30,28,20,1,16,14,19,2,8,1,44,16,38,23
nominal,7,6,61,60,100,0.0546448087431694,3.278688524590164,0.0250975800156128,True,3.5103825136612024,5.0,61,1.0,5,0.08333333333333333,0.11714348896552285,5,29,52,60,4,18,36,21,21,1,16,14,19,2,8,1,42,22,36,23
degraded_ego,7,6,61,60,100,0.0546448087431694,3.278688524590164,0.033879781420765025,True,3.5295081967213116,5.0,61,1.0,8,0.13333333333333333,0.26403371894897315,8,32,55,60,3,13,33,31,20,1,16,14,19,2,8,1,43,18,41,24
ambiguous_local_context,7,6,61,60,98,0.053551912568306013,3.2131147540983607,0.019906323185011707,True,3.648633879781421,5.0,61,1.0,6,0.1,0.2118688906824499,6,30,53,60,3,12,32,31,20,1,16,14,19,2,8,1,36,22,39,22
noisy_untrusted_external,7,6,61,60,102,0.05573770491803279,3.3442622950819674,0.019125683060109287,True,3.4103825136612023,5.0,61,1.0,6,0.1,0.1809492014576761,6,30,53,60,3,18,30,30,21,1,16,14,19,2,8,1,36,18,40,19
nominal,7,7,61,60,94,0.05136612021857923,3.081967213114754,0.023575331772053083,True,3.598360655737705,5.0,61,1.0,5,0.08333333333333333,0.1661947358981257,5,29,52,60,4,11,31,21,27,1,16,14,19,2,8,1,43,21,35,21
degraded_ego,7,7,61,60,102,0.05573770491803279,3.3442622950819674,0.046135831381733015,True,3.521857923497268,5.0,61,1.0,6,0.1,0.1825579850156121,6,30,53,60,3,25,26,29,19,1,16,14,19,2,8,1,44,13,35,19
ambiguous_local_context,7,7,61,60,101,0.055191256830601096,3.3114754098360657,0.022092115534738485,True,3.4939890710382513,5.0,61,1.0,8,0.13333333333333333,0.21523552718467978,8,32,55,60,3,17,33,33,15,1,16,14,19,2,8,1,43,20,42,20
noisy_untrusted_external,7,7,61,60,84,0.04590163934426229,2.7540983606557377,0.0141295862607338,True,3.902185792349727,6.0,61,1.0,5,0.08333333333333333,0.29002017756255044,5,29,52,60,3,11,25,27,18,1,16,14,19,2,8,1,46,18,39,21
nominal,7,8,61,60,93,0.05081967213114754,3.0491803278688523,0.015300546448087432,True,3.7901639344262295,6.0,61,1.0,6,0.1,0.2532964634235821,6,30,53,60,3,15,34,20,21,1,16,14,19,2,8,1,37,21,39,21
degraded_ego,7,8,61,60,99,0.054098360655737705,3.2459016393442623,0.013114754098360656,True,3.5639344262295083,5.0,61,1.0,8,0.13333333333333333,0.270421471184183,8,32,55,60,3,10,32,36,18,1,16,14,19,2,8,1,44,16,38,22
ambiguous_local_context,7,8,61,60,100,0.0546448087431694,3.278688524590164,0.029898516783762683,True,3.5071038251366122,5.0,61,1.0,5,0.08333333333333333,0.08438615370818763,5,29,52,60,3,14,32,28,23,1,16,14,19,2,8,1,42,16,36,22
noisy_untrusted_external,7,8,61,60,89,0.048633879781420766,2.918032786885246,0.0,True,3.8420765027322403,6.0,61,1.0,8,0.13333333333333333,0.4101282803825177,8,32,55,60,3,11,32,23,20,1,16,14,19,2,8,1,38,17,34,19
nominal,7,9,61,60,93,0.05081967213114754,3.0491803278688523,0.054098360655737705,True,3.7557377049180327,5.0,61,1.0,7,0.11666666666666667,0.29113801452784505,7,31,54,60,3,15,29,27,19,1,16,14,19,2,8,1,42,16,47,23
degraded_ego,7,9,61,60,96,0.05245901639344262,3.1475409836065573,0.027322404371584702,True,3.571584699453552,5.0,61,1.0,7,0.11666666666666667,0.21635572838962674,7,31,54,60,3,12,29,28,24,1,16,14,19,2,8,1,41,14,38,22
ambiguous_local_context,7,9,61,60,107,0.058469945355191254,3.5081967213114753,0.04410616705698672,True,3.3486338797814206,5.0,61,1.0,5,0.08333333333333333,0.06266457177474129,5,29,52,60,3,18,30,28,28,1,16,14,19,2,8,1,42,18,37,22
noisy_untrusted_external,7,9,61,60,93,0.05081967213114754,3.0491803278688523,0.01366120218579235,True,3.7174863387978143,5.0,61,1.0,6,0.1,0.19983388080845715,6,30,53,60,3,13,34,22,21,1,16,14,19,2,8,1,41,21,41,25
nominal,7,10,61,60,92,0.05027322404371585,3.0163934426229506,0.013192818110850896,True,3.732786885245902,5.0,61,1.0,6,0.1,0.26870308285562533,6,30,53,60,5,13,32,21,21,1,16,14,19,2,8,1,47,19,43,23
degraded_ego,7,10,61,60,98,0.053551912568306013,3.2131147540983607,0.054293520686963304,True,3.6153005464480876,5.0,61,1.0,5,0.08333333333333333,0.13630285909946926,5,29,52,60,5,13,27,29,24,1,16,14,19,2,8,1,40,18,43,26
ambiguous_local_context,7,10,61,60,97,0.053005464480874315,3.180327868852459,0.0049180327868852455,True,3.57103825136612,5.0,61,1.0,6,0.1,0.13114926504757016,6,30,53,60,3,15,35,27,17,1,16,14,19,2,8,1,46,18,39,19
noisy_untrusted_external,7,10,61,60,114,0.06229508196721312,3.737704918032787,0.044691647150663545,True,3.3633879781420766,5.0,61,1.0,7,0.11666666666666667,0.1200017982645101,7,31,54,60,5,24,36,24,25,1,16,14,19,2,8,1,48,18,40,24
nominal,7,11,61,60,94,0.05136612021857923,3.081967213114754,0.026697892271662763,True,3.7114754098360656,5.0,61,1.0,8,0.13333333333333333,0.3164702717245089,8,32,55,60,3,13,30,28,20,1,16,14,19,2,8,1,39,22,41,20
degraded_ego,7,11,61,60,102,0.05573770491803279,3.3442622950819674,0.029976580796252927,True,3.533333333333333,5.0,61,1.0,5,0.08333333333333333,0.1105835517276195,5,29,52,60,3,14,23,34,28,1,16,14,19,2,8,1,34,16,41,22
ambiguous_local_context,7,11,61,60,92,0.05027322404371585,3.0163934426229506,0.016939890710382512,True,3.7775956284153005,5.0,61,1.0,7,0.11666666666666667,0.31886736615550176,7,31,54,60,3,11,31,24,23,1,16,14,19,2,8,1,37,15,37,27
noisy_untrusted_external,7,11,61,60,101,0.055191256830601096,3.3114754098360657,0.0234192037470726,True,3.5366120218579233,5.0,61,1.0,6,0.1,0.172121502163875,6,30,53,60,3,12,30,31,25,1,16,14,19,2,8,1,40,20,41,23
nominal,7,12,61,60,103,0.05628415300546448,3.377049180327869,0.027946916471506635,True,3.462295081967213,5.0,61,1.0,5,0.08333333333333333,0.1191139400461434,5,29,52,60,3,16,28,30,26,1,16,14,19,2,8,1,43,21,33,20
degraded_ego,7,12,61,60,95,0.05191256830601093,3.1147540983606556,0.027556596409055424,True,3.6841530054644807,5.0,61,1.0,7,0.11666666666666667,0.2976876513317192,7,31,54,60,3,15,27,31,19,1,16,14,19,2,8,1,40,20,39,20
ambiguous_local_context,7,12,61,60,93,0.05081967213114754,3.0491803278688523,0.0507416081186573,True,3.759562841530055,5.099999999999909,61,1.0,5,0.08333333333333333,0.16003900995426418,5,29,52,60,3,10,24,25,31,1,16,14,19,2,8,1,43,16,39,24
noisy_untrusted_external,7,12,61,60,99,0.054098360655737705,3.2459016393442623,0.041217798594847775,True,3.5256830601092894,5.0,61,1.0,6,0.1,0.15603533315397725,6,30,53,60,3,16,28,29,23,1,16,14,19,2,8,1,48,19,38,20
nominal,7,13,61,60,98,0.053551912568306013,3.2131147540983607,0.015300546448087432,True,3.6633879781420764,5.0,61,1.0,8,0.13333333333333333,0.343562746105119,8,32,55,60,4,11,34,27,22,1,16,14,19,2,8,1,37,19,40,21
degraded_ego,7,13,61,60,83,0.0453551912568306,2.721311475409836,0.030601092896174863,True,3.989071038251366,6.0,61,1.0,6,0.1,0.33998654829163305,6,30,53,60,3,12,27,22,19,1,16,14,19,2,8,1,43,14,43,21
ambiguous_local_context,7,13,61,60,92,0.05027322404371585,3.0163934426229506,0.04231069476971116,True,3.7901639344262295,5.099999999999909,61,1.0,7,0.11666666666666667,0.3286155950139,7,31,54,60,3,12,28,30,19,1,16,14,19,2,8,1,44,21,44,27
noisy_untrusted_external,7,13,61,60,111,0.060655737704918035,3.639344262295082,0.04405412438199323,True,3.3273224043715848,5.0,61,1.0,5,0.08333333333333333,0.06887727777558285,5,29,52,60,3,13,38,31,26,1,16,14,19,2,8,1,41,16,42,19
nominal,7,14,61,60,98,0.053551912568306013,3.2131147540983607,0.01686182669789227,True,3.5404371584699454,5.0,61,1.0,7,0.11666666666666667,0.20847838758855716,7,31,54,60,3,20,30,21,24,1,16,14,19,2,8,1,35,20,40,21
degraded_ego,7,14,61,60,80,0.04371584699453552,2.622950819672131,0.0,True,4.016393442622951,6.0,61,1.0,5,0.08333333333333333,0.29824186171643796,5,29,52,60,3,12,28,22,15,1,16,14,19,2,8,1,41,14,40,20
ambiguous_local_context,7,14,61,60,97,0.053005464480874315,3.180327868852459,0.017486338797814208,True,3.550273224043716,5.0,61,1.0,5,0.08333333333333333,0.13676553672316383,5,29,52,60,3,15,25,33,21,1,16,14,19,2,8,1,45,13,36,21
noisy_untrusted_external,7,14,61,60,100,0.0546448087431694,3.278688524590164,0.014897215716887848,True,3.4524590163934428,5.0,61,1.0,6,0.1,0.15818544606680207,6,30,53,60,3,14,34,24,25,1,16,14,19,2,8,1,46,20,43,22
nominal,7,15,61,60,107,0.058469945355191254,3.5081967213114753,0.03278688524590164,True,3.421311475409836,5.0,61,1.0,7,0.11666666666666667,0.18072796161779212,7,31,54,60,4,16,30,24,33,1,16,14,19,2,8,1,37,18,47,19
degraded_ego,7,15,61,60,91,0.04972677595628415,2.9836065573770494,0.002810304449648712,True,3.6890710382513663,5.0,61,1.0,8,0.13333333333333333,0.2894081248318537,8,32,55,60,3,14,29,25,20,1,16,14,19,2,8,1,35,19,40,23
ambiguous_local_context,7,15,61,60,104,0.05683060109289618,3.4098360655737703,0.031186572989851676,True,3.353551912568306,5.0,61,1.0,8,0.13333333333333333,0.22301633865193185,8,32,55,60,3,12,33,31,25,1,16,14,19,2,8,1,40,20,35,25
noisy_untrusted_external,7,15,61,60,92,0.05027322404371585,3.0163934426229506,0.030054644808743168,True,3.7721311475409838,5.0,61,1.0,7,0.11666666666666667,0.3654522878251691,7,31,54,60,4,14,29,16,29,1,16,14,19,2,8,1,38,23,36,23
nominal,7,16,61,60,95,0.05191256830601093,3.1147540983606556,0.012164975279729378,True,3.546448087431694,5.0,61,1.0,5,0.08333333333333333,0.1287321968677901,5,29,52,60,4,17,32,23,19,1,16,14,19,2,8,1,43,20,39,28
degraded_ego,7,16,61,60,96,0.05245901639344262,3.1475409836065573,0.03610460577673693,True,3.669398907103825,5.0,61,1.0,6,0.1,0.2080790960451977,6,30,53,60,3,12,30,28,23,1,16,14,19,2,8,1,43,7,42,19
ambiguous_local_context,7,16,61,60,110,0.060109289617486336,3.6065573770491803,0.04531615925058548,True,3.3278688524590163,5.0,61,1.0,5,0.08333333333333333,0.07677000494797104,5,29,52,60,3,13,36,32,26,1,16,14,19,2,8,1,45,13,39,18
noisy_untrusted_external,7,16,61,60,94,0.05136612021857923,3.081967213114754,0.0,True,3.6295081967213116,5.0,61,1.0,8,0.13333333333333333,0.26713613128867375,8,32,55,60,3,14,27,26,24,1,16,14,19,2,8,1,37,15,36,23
nominal,7,17,61,60,100,0.0546448087431694,3.278688524590164,0.013114754098360656,True,3.5349726775956283,5.0,61,1.0,8,0.13333333333333333,0.23999245889076407,8,32,55,60,3,16,30,29,22,1,16,14,19,2,8,1,36,17,40,24
degraded_ego,7,17,61,60,102,0.05573770491803279,3.3442622950819674,0.03469945355191257,True,3.454098360655738,5.0,61,1.0,5,0.08333333333333333,0.07749327414581654,5,29,52,60,4,12,28,38,20,1,16,14,19,2,8,1,44,17,41,27
ambiguous_local_context,7,17,61,60,94,0.05136612021857923,3.081967213114754,0.022950819672131147,True,3.639344262295082,5.0,61,1.0,5,0.08333333333333333,0.1491081517352704,5,29,52,60,3,13,31,25,22,1,16,14,19,2,8,1,40,19,31,17
noisy_untrusted_external,7,17,61,60,102,0.05573770491803279,3.3442622950819674,0.03793911007025761,True,3.4797814207650273,5.0,61,1.0,8,0.13333333333333333,0.22428672708333722,8,32,55,60,3,15,31,26,27,1,16,14,19,2,8,1,42,19,40,19
nominal,7,18,61,60,91,0.04972677595628415,2.9836065573770494,0.006010928961748634,True,3.814207650273224,6.0,61,1.0,5,0.08333333333333333,0.21221190924580757,5,29,52,60,3,9,28,24,27,1,16,14,19,2,8,1,42,14,39,26
degraded_ego,7,18,61,60,93,0.05081967213114754,3.0491803278688523,0.04172521467603434,True,3.6475409836065573,5.0,61,1.0,5,0.08333333333333333,0.12388440498609987,5,29,52,60,3,12,25,26,27,1,16,14,19,2,8,1,40,21,35,24
ambiguous_local_context,7,18,61,60,104,0.05683060109289618,3.4098360655737703,0.012802498048399688,True,3.40655737704918,5.0,61,1.0,6,0.1,0.11543538696081063,6,30,53,60,3,12,34,21,34,1,16,14,19,2,8,1,41,16,41,20
noisy_untrusted_external,7,18,61,60,102,0.05573770491803279,3.3442622950819674,0.023575331772053083,True,3.4644808743169397,5.0,61,1.0,8,0.13333333333333333,0.21551456860778911,8,32,55,60,4,14,30,30,24,1,16,14,19,2,8,1,45,17,38,21
nominal,7,19,61,60,99,0.054098360655737705,3.2459016393442623,0.020140515222482433,True,3.580327868852459,5.0,61,1.0,5,0.08333333333333333,0.1244736917194544,5,29,52,60,4,15,31,25,24,1,16,14,19,2,8,1,46,13,37,23
degraded_ego,7,19,61,60,88,0.048087431693989074,2.8852459016393444,0.0,True,3.8278688524590163,6.0,61,1.0,8,0.13333333333333333,0.349513048157116,8,32,55,60,3,5,31,32,17,1,16,14,19,2,8,1,39,14,36,19
ambiguous_local_context,7,19,61,60,95,0.05191256830601093,3.1147540983606556,0.01959406713505074,True,3.60327868852459,5.0,61,1.0,6,0.1,0.10983527771663366,6,30,53,60,3,15,30,26,21,1,16,14,19,2,8,1,32,18,36,22
noisy_untrusted_external,7,19,61,60,96,0.05245901639344262,3.1475409836065573,0.020530835284933647,True,3.7710382513661203,6.0,61,1.0,7,0.11666666666666667,0.26663348578602813,7,31,54,60,4,22,24,25,21,1,16,14,19,2,8,1,38,17,38,21
nominal,7,20,61,60,95,0.05191256830601093,3.1147540983606556,0.04504293520686963,True,3.769398907103825,6.0,61,1.0,6,0.1,0.23257532956685503,6,30,53,60,3,17,28,22,25,1,16,14,19,2,8,1,42,16,36,24
degraded_ego,7,20,61,60,103,0.05628415300546448,3.377049180327869,0.024329950559458757,True,3.439344262295082,5.0,61,1.0,5,0.08333333333333333,0.05111143721313214,5,29,52,60,3,13,33,29,25,1,16,14,19,2,8,1,41,20,35,15
ambiguous_local_context,7,20,61,60,87,0.047540983606557376,2.8524590163934427,0.008743169398907104,True,3.8704918032786884,6.0,61,1.0,7,0.11666666666666667,0.34051721818670977,7,31,54,60,3,16,29,20,19,1,16,14,19,2,8,1,42,20,41,23
