scenario,seed,episode,relation_type,edge_count,edge_share,relation_utility
ambiguous_local_context,7,4,OOR,3,0.028846153846153848,1.0
ambiguous_local_context,7,4,CLOR,18,0.17307692307692307,0.8
ambiguous_local_context,7,4,CWOR,34,0.3269230769230769,0.8
ambiguous_local_context,7,4,SOR,30,0.28846153846153844,0.6
ambiguous_local_context,7,4,POR,19,0.18269230769230768,0.5
noisy_untrusted_external,7,4,OOR,3,0.03,1.0
noisy_untrusted_external,7,4,CLOR,14,0.14,0.8
noisy_untrusted_external,7,4,CWOR,28,0.28,0.8
noisy_untrusted_external,7,4,SOR,29,0.29,0.6
noisy_untrusted_external,7,4,POR,26,0.26,0.5
nominal,7,5,OOR,3,0.030612244897959183,1.0
nominal,7,5,CLOR,12,0.12244897959183673,0.8
nominal,7,5,CWOR,31,0.3163265306122449,0.8
nominal,7,5,SOR,33,0.336734693877551,0.6
nominal,7,5,POR,19,0.19387755102040816,0.5
degraded_ego,7,5,OOR,4,0.0380952380952381,1.0
degraded_ego,7,5,CLOR,18,0.17142857142857143,0.8
degraded_ego,7,5,CWOR,35,0.3333333333333333,0.8
degraded_ego,7,5,SOR,29,0.2761904761904762,0.6
degraded_ego,7,5,POR,19,0.18095238095238095,0.5
ambiguous_local_context,7,5,OOR,4,0.04,1.0
ambiguous_local_context,7,5,CLOR,19,0.19,0.8
ambiguous_local_context,7,5,CWOR,29,0.29,0.8
ambiguous_local_context,7,5,SOR,26,0.26,0.6
ambiguous_local_context,7,5,POR,22,0.22,0.5
noisy_untrusted_external,7,5,OOR,4,0.04040404040404041,1.0
noisy_untrusted_external,7,5,CLOR,17,0.1717171717171717,0.8
noisy_untrusted_external,7,5,CWOR,30,0.30303030303030304,0.8
noisy_untrusted_external,7,5,SOR,28,0.2828282828282828,0.6
noisy_untrusted_external,7,5,POR,20,0.20202020202020202,0.5
nominal,7,6,OOR,4,0.04,1.0
nominal,7,6,CLOR,18,0.18,0.8
nominal,7,6,CWOR,36,0.36,0.8
nominal,7,6,SOR,21,0.21,0.6
nominal,7,6,POR,21,0.21,0.5
