scenario,policy,policy_label,variable,error_rate,ci95_low,ci95_high,observations
noisy_untrusted_external,ego_only,Ego-only,resource_state,0.44675,0.4380791666666667,0.45500208333333336,12000
noisy_untrusted_external,opportunistic_all,Opportunistic all,activity,0.3745,0.36608124999999997,0.3829166666666667,12000
noisy_untrusted_external,opportunistic_all,Opportunistic all,env_load,0.16825,0.16183333333333333,0.17558333333333334,12000
noisy_untrusted_external,opportunistic_all,Opportunistic all,place,0.10316666666666667,0.09807916666666666,0.10850208333333333,12000
noisy_untrusted_external,opportunistic_all,Opportunistic all,resource_state,0.35625,0.34766458333333333,0.36466666666666664,12000
noisy_untrusted_external,siot_aware,SIoT-aware,activity,0.4548333333333333,0.4460791666666667,0.46375208333333334,12000
noisy_untrusted_external,siot_aware,SIoT-aware,env_load,0.4735,0.46458125,0.4818375,12000
noisy_untrusted_external,siot_aware,SIoT-aware,place,0.43766666666666665,0.4284104166666667,0.4469208333333333,12000
noisy_untrusted_external,siot_aware,SIoT-aware,resource_state,0.42291666666666666,0.41366458333333334,0.43158541666666667,12000
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,activity,0.46341666666666664,0.4544166666666667,0.4721666666666667,12000
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,env_load,0.47883333333333333,0.46966458333333333,0.48733333333333334,12000
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,place,0.44425,0.4356645833333333,0.453,12000
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,resource_state,0.4221666666666667,0.41325,0.4306708333333333,12000
