scenario,policy,policy_label,convergence_time,effective_recovery_cost,effective_recovery_cost_ci95_low,effective_recovery_cost_ci95_high,mean_discovery_cost_during_recovery,mean_recruitment_cost_during_recovery,mean_latency_cost_during_recovery,transition_count
ambiguous_local_context,ego_only,Ego-only,11.256857193417094,0.0,0.0,0.0,0.0,0.0,0.0,11302
ambiguous_local_context,opportunistic_all,Opportunistic all,0.3523270217660591,326.05246580405054,323.0675748950688,329.243455251577,211.6254777915413,114.4269880125092,95.66422371948502,11302
ambiguous_local_context,siot_aware,SIoT-aware,5.463723234825695,370.2119610334874,362.85671483008156,376.797523307798,333.4826225446824,31.47496758100115,13.410494028176425,11302
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,6.074854008140152,402.249558326108,395.81315098202435,409.5064917891277,365.1389134666431,31.364537975727554,13.002963989018214,11302
degraded_ego,ego_only,Ego-only,16.54222928249934,0.0,0.0,0.0,0.0,0.0,0.0,11331
degraded_ego,opportunistic_all,Opportunistic all,0.29141293795781487,312.97824758345524,310.26456430929494,315.73056541503,203.38514694201743,109.5931006414378,92.04327900736843,11331
degraded_ego,siot_aware,SIoT-aware,5.2494925425822965,376.5540465430476,369.34665857914626,383.46700266172127,335.0803371282323,36.201623985462156,16.238788451126908,11331
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,5.8811225840614245,412.74569841115436,404.68120351382606,420.5269407633198,369.71093019151,37.220188747400044,16.389751001501185,11331
noisy_untrusted_external,ego_only,Ego-only,8.15525563103325,0.0,0.0,0.0,0.0,0.0,0.0,11188
noisy_untrusted_external,opportunistic_all,Opportunistic all,2.1970861637468717,784.4219727651707,772.6217472162197,797.6959899996249,500.57016446192347,283.8518083032474,264.94105102638827,11188
noisy_untrusted_external,siot_aware,SIoT-aware,7.217107615302109,459.02398199909163,451.19438757051523,467.2067704059582,427.11126653557386,25.19298003269906,11.222654824852633,11188
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,7.486235252055774,467.1242464858788,459.17805215954206,474.27681920219186,441.7686271004648,18.40608416911079,8.073188879086128,11188
nominal,ego_only,Ego-only,5.275185815348795,0.0,0.0,0.0,0.0,0.0,0.0,11167
nominal,opportunistic_all,Opportunistic all,0.24160472821706816,299.2475719080543,296.75920640001874,301.9230768792539,194.43423927643946,104.81333263161483,87.28388433123718,11167
nominal,siot_aware,SIoT-aware,3.345213575714158,246.8484978436218,242.76570246573831,250.54383407796968,223.06585922808276,20.247105347875408,8.282850766983444,11167
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,3.5760723560490733,258.29075462791246,253.89575131740852,262.73748240068437,234.87778275275366,19.690262105301226,7.895970344689122,11167
