scenario,previous_context_tuple,next_context_tuple,transition_count,transition_share
ambiguous_local_context,meeting_room|interacting|medium|nominal,office|focused_work|medium|nominal,13,0.0011063829787234043
ambiguous_local_context,office|interacting|high|nominal,meeting_room|focused_work|medium|nominal,13,0.0011063829787234043
ambiguous_local_context,office|interacting|medium|nominal,meeting_room|interacting|high|nominal,13,0.0011063829787234043
ambiguous_local_context,office|interacting|medium|nominal,meeting_room|interacting|medium|nominal,13,0.0011063829787234043
ambiguous_local_context,office|interacting|medium|nominal,transit|commuting|medium|nominal,13,0.0011063829787234043
ambiguous_local_context,transit|commuting|high|nominal,office|focused_work|medium|nominal,13,0.0011063829787234043
ambiguous_local_context,transit|commuting|high|nominal,transit|commuting|high|degraded,13,0.0011063829787234043
ambiguous_local_context,meeting_room|interacting|high|nominal,meeting_room|interacting|medium|nominal,12,0.0010212765957446808
ambiguous_local_context,office|focused_work|high|degraded,office|interacting|medium|nominal,12,0.0010212765957446808
ambiguous_local_context,office|focused_work|medium|nominal,meeting_room|focused_work|medium|nominal,12,0.0010212765957446808
ambiguous_local_context,office|focused_work|medium|nominal,meeting_room|interacting|high|nominal,12,0.0010212765957446808
ambiguous_local_context,office|interacting|medium|nominal,office|interacting|low|nominal,12,0.0010212765957446808
ambiguous_local_context,public_place|waiting|medium|nominal,transit|commuting|medium|nominal,12,0.0010212765957446808
ambiguous_local_context,transit|commuting|high|nominal,office|interacting|medium|nominal,12,0.0010212765957446808
ambiguous_local_context,home|interacting|medium|nominal,home|resting|medium|nominal,11,0.0009361702127659575
ambiguous_local_context,home|resting|low|degraded,home|resting|medium|nominal,11,0.0009361702127659575
ambiguous_local_context,home|resting|medium|nominal,home|resting|high|degraded,11,0.0009361702127659575
ambiguous_local_context,home|resting|medium|nominal,home|waiting|medium|nominal,11,0.0009361702127659575
ambiguous_local_context,meeting_room|interacting|medium|nominal,office|interacting|medium|nominal,11,0.0009361702127659575
ambiguous_local_context,office|focused_work|high|nominal,office|interacting|medium|nominal,11,0.0009361702127659575
ambiguous_local_context,office|focused_work|medium|nominal,office|interacting|high|degraded,11,0.0009361702127659575
ambiguous_local_context,office|interacting|low|nominal,office|focused_work|low|nominal,11,0.0009361702127659575
ambiguous_local_context,office|interacting|low|nominal,office|interacting|high|nominal,11,0.0009361702127659575
ambiguous_local_context,office|interacting|medium|nominal,meeting_room|focused_work|high|nominal,11,0.0009361702127659575
ambiguous_local_context,office|interacting|medium|nominal,office|waiting|medium|nominal,11,0.0009361702127659575
