scenario,seed,episode,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop
noisy_untrusted_external,17,20,6,30,53,60
nominal,17,21,8,32,55,60
degraded_ego,17,21,8,32,55,60
ambiguous_local_context,17,21,7,31,54,60
noisy_untrusted_external,17,21,5,29,52,60
nominal,17,22,5,29,52,60
degraded_ego,17,22,8,32,55,60
ambiguous_local_context,17,22,7,31,54,60
noisy_untrusted_external,17,22,5,29,52,60
nominal,17,23,6,30,53,60
degraded_ego,17,23,5,29,52,60
ambiguous_local_context,17,23,5,29,52,60
noisy_untrusted_external,17,23,5,29,52,60
nominal,17,24,7,31,54,60
degraded_ego,17,24,6,30,53,60
ambiguous_local_context,17,24,5,29,52,60
noisy_untrusted_external,17,24,8,32,55,60
nominal,17,25,7,31,54,60
degraded_ego,17,25,8,32,55,60
ambiguous_local_context,17,25,5,29,52,60
noisy_untrusted_external,17,25,5,29,52,60
nominal,17,26,8,32,55,60
degraded_ego,17,26,6,30,53,60
ambiguous_local_context,17,26,6,30,53,60
noisy_untrusted_external,17,26,6,30,53,60
nominal,17,27,8,32,55,60
degraded_ego,17,27,6,30,53,60
ambiguous_local_context,17,27,6,30,53,60
noisy_untrusted_external,17,27,6,30,53,60
nominal,17,28,7,31,54,60
degraded_ego,17,28,6,30,53,60
ambiguous_local_context,17,28,7,31,54,60
noisy_untrusted_external,17,28,7,31,54,60
nominal,17,29,6,30,53,60
degraded_ego,17,29,7,31,54,60
ambiguous_local_context,17,29,7,31,54,60
noisy_untrusted_external,17,29,5,29,52,60
nominal,17,30,5,29,52,60
degraded_ego,17,30,8,32,55,60
ambiguous_local_context,17,30,6,30,53,60
noisy_untrusted_external,17,30,8,32,55,60
nominal,17,31,8,32,55,60
degraded_ego,17,31,6,30,53,60
ambiguous_local_context,17,31,7,31,54,60
noisy_untrusted_external,17,31,7,31,54,60
nominal,17,32,6,30,53,60
degraded_ego,17,32,8,32,55,60
ambiguous_local_context,17,32,8,32,55,60
noisy_untrusted_external,17,32,5,29,52,60
nominal,17,33,8,32,55,60
degraded_ego,17,33,5,29,52,60
ambiguous_local_context,17,33,5,29,52,60
noisy_untrusted_external,17,33,8,32,55,60
nominal,17,34,5,29,52,60
degraded_ego,17,34,5,29,52,60
ambiguous_local_context,17,34,5,29,52,60
noisy_untrusted_external,17,34,6,30,53,60
nominal,17,35,7,31,54,60
degraded_ego,17,35,8,32,55,60
ambiguous_local_context,17,35,6,30,53,60
noisy_untrusted_external,17,35,5,29,52,60
nominal,17,36,7,31,54,60
degraded_ego,17,36,6,30,53,60
ambiguous_local_context,17,36,6,30,53,60
noisy_untrusted_external,17,36,7,31,54,60
nominal,17,37,6,30,53,60
degraded_ego,17,37,8,32,55,60
ambiguous_local_context,17,37,7,31,54,60
noisy_untrusted_external,17,37,5,29,52,60
nominal,17,38,5,29,52,60
degraded_ego,17,38,7,31,54,60
ambiguous_local_context,17,38,6,30,53,60
noisy_untrusted_external,17,38,6,30,53,60
nominal,17,39,5,29,52,60
degraded_ego,17,39,8,32,55,60
ambiguous_local_context,17,39,7,31,54,60
noisy_untrusted_external,17,39,8,32,55,60
nominal,17,40,7,31,54,60
degraded_ego,17,40,5,29,52,60
ambiguous_local_context,17,40,7,31,54,60
noisy_untrusted_external,17,40,8,32,55,60
nominal,17,41,5,29,52,60
degraded_ego,17,41,5,29,52,60
ambiguous_local_context,17,41,7,31,54,60
noisy_untrusted_external,17,41,8,32,55,60
nominal,17,42,6,30,53,60
degraded_ego,17,42,5,29,52,60
ambiguous_local_context,17,42,8,32,55,60
noisy_untrusted_external,17,42,6,30,53,60
nominal,17,43,8,32,55,60
degraded_ego,17,43,6,30,53,60
ambiguous_local_context,17,43,8,32,55,60
noisy_untrusted_external,17,43,7,31,54,60
nominal,17,44,5,29,52,60
degraded_ego,17,44,8,32,55,60
ambiguous_local_context,17,44,7,31,54,60
noisy_untrusted_external,17,44,7,31,54,60
nominal,17,45,6,30,53,60
degraded_ego,17,45,7,31,54,60
ambiguous_local_context,17,45,5,29,52,60
noisy_untrusted_external,17,45,8,32,55,60
nominal,17,46,5,29,52,60
degraded_ego,17,46,6,30,53,60
ambiguous_local_context,17,46,8,32,55,60
noisy_untrusted_external,17,46,6,30,53,60
nominal,17,47,8,32,55,60
degraded_ego,17,47,6,30,53,60
ambiguous_local_context,17,47,6,30,53,60
noisy_untrusted_external,17,47,8,32,55,60
nominal,17,48,8,32,55,60
degraded_ego,17,48,5,29,52,60
ambiguous_local_context,17,48,5,29,52,60
noisy_untrusted_external,17,48,7,31,54,60
nominal,17,49,7,31,54,60
degraded_ego,17,49,5,29,52,60
ambiguous_local_context,17,49,6,30,53,60
noisy_untrusted_external,17,49,8,32,55,60
nominal,19,0,5,29,52,60
degraded_ego,19,0,8,32,55,60
ambiguous_local_context,19,0,5,29,52,60
noisy_untrusted_external,19,0,6,30,53,60
nominal,19,1,6,30,53,60
degraded_ego,19,1,6,30,53,60
ambiguous_local_context,19,1,6,30,53,60
noisy_untrusted_external,19,1,8,32,55,60
nominal,19,2,5,29,52,60
degraded_ego,19,2,5,29,52,60
ambiguous_local_context,19,2,5,29,52,60
noisy_untrusted_external,19,2,6,30,53,60
nominal,19,3,6,30,53,60
degraded_ego,19,3,7,31,54,60
ambiguous_local_context,19,3,6,30,53,60
noisy_untrusted_external,19,3,5,29,52,60
nominal,19,4,8,32,55,60
degraded_ego,19,4,7,31,54,60
ambiguous_local_context,19,4,6,30,53,60
noisy_untrusted_external,19,4,8,32,55,60
nominal,19,5,7,31,54,60
degraded_ego,19,5,7,31,54,60
ambiguous_local_context,19,5,5,29,52,60
noisy_untrusted_external,19,5,8,32,55,60
nominal,19,6,5,29,52,60
degraded_ego,19,6,5,29,52,60
ambiguous_local_context,19,6,6,30,53,60
noisy_untrusted_external,19,6,5,29,52,60
nominal,19,7,8,32,55,60
degraded_ego,19,7,7,31,54,60
ambiguous_local_context,19,7,8,32,55,60
noisy_untrusted_external,19,7,5,29,52,60
nominal,19,8,8,32,55,60
degraded_ego,19,8,8,32,55,60
ambiguous_local_context,19,8,6,30,53,60
noisy_untrusted_external,19,8,6,30,53,60
nominal,19,9,8,32,55,60
degraded_ego,19,9,5,29,52,60
ambiguous_local_context,19,9,7,31,54,60
noisy_untrusted_external,19,9,7,31,54,60
nominal,19,10,7,31,54,60
degraded_ego,19,10,6,30,53,60
ambiguous_local_context,19,10,5,29,52,60
noisy_untrusted_external,19,10,6,30,53,60
nominal,19,11,6,30,53,60
degraded_ego,19,11,7,31,54,60
ambiguous_local_context,19,11,8,32,55,60
noisy_untrusted_external,19,11,6,30,53,60
nominal,19,12,8,32,55,60
degraded_ego,19,12,6,30,53,60
ambiguous_local_context,19,12,8,32,55,60
noisy_untrusted_external,19,12,6,30,53,60
nominal,19,13,8,32,55,60
degraded_ego,19,13,7,31,54,60
ambiguous_local_context,19,13,8,32,55,60
noisy_untrusted_external,19,13,5,29,52,60
nominal,19,14,5,29,52,60
degraded_ego,19,14,5,29,52,60
ambiguous_local_context,19,14,5,29,52,60
noisy_untrusted_external,19,14,8,32,55,60
nominal,19,15,7,31,54,60
degraded_ego,19,15,8,32,55,60
ambiguous_local_context,19,15,7,31,54,60
noisy_untrusted_external,19,15,8,32,55,60
nominal,19,16,6,30,53,60
degraded_ego,19,16,8,32,55,60
ambiguous_local_context,19,16,7,31,54,60
noisy_untrusted_external,19,16,7,31,54,60
nominal,19,17,6,30,53,60
degraded_ego,19,17,7,31,54,60
ambiguous_local_context,19,17,8,32,55,60
noisy_untrusted_external,19,17,6,30,53,60
nominal,19,18,8,32,55,60
degraded_ego,19,18,6,30,53,60
ambiguous_local_context,19,18,5,29,52,60
noisy_untrusted_external,19,18,6,30,53,60
nominal,19,19,8,32,55,60
degraded_ego,19,19,6,30,53,60
ambiguous_local_context,19,19,7,31,54,60
noisy_untrusted_external,19,19,6,30,53,60
nominal,19,20,5,29,52,60
degraded_ego,19,20,6,30,53,60
ambiguous_local_context,19,20,6,30,53,60
noisy_untrusted_external,19,20,5,29,52,60
nominal,19,21,5,29,52,60
degraded_ego,19,21,6,30,53,60
ambiguous_local_context,19,21,6,30,53,60
noisy_untrusted_external,19,21,7,31,54,60
nominal,19,22,8,32,55,60
degraded_ego,19,22,8,32,55,60
ambiguous_local_context,19,22,6,30,53,60
noisy_untrusted_external,19,22,8,32,55,60
nominal,19,23,7,31,54,60
degraded_ego,19,23,7,31,54,60
ambiguous_local_context,19,23,6,30,53,60
noisy_untrusted_external,19,23,7,31,54,60
nominal,19,24,6,30,53,60
degraded_ego,19,24,8,32,55,60
ambiguous_local_context,19,24,7,31,54,60
noisy_untrusted_external,19,24,7,31,54,60
nominal,19,25,7,31,54,60
degraded_ego,19,25,6,30,53,60
ambiguous_local_context,19,25,8,32,55,60
noisy_untrusted_external,19,25,7,31,54,60
nominal,19,26,7,31,54,60
degraded_ego,19,26,7,31,54,60
ambiguous_local_context,19,26,6,30,53,60
noisy_untrusted_external,19,26,6,30,53,60
nominal,19,27,5,29,52,60
degraded_ego,19,27,6,30,53,60
ambiguous_local_context,19,27,5,29,52,60
noisy_untrusted_external,19,27,5,29,52,60
nominal,19,28,6,30,53,60
degraded_ego,19,28,5,29,52,60
ambiguous_local_context,19,28,6,30,53,60
noisy_untrusted_external,19,28,7,31,54,60
nominal,19,29,8,32,55,60
degraded_ego,19,29,6,30,53,60
ambiguous_local_context,19,29,7,31,54,60
noisy_untrusted_external,19,29,7,31,54,60
nominal,19,30,8,32,55,60
degraded_ego,19,30,7,31,54,60
ambiguous_local_context,19,30,7,31,54,60
noisy_untrusted_external,19,30,6,30,53,60
nominal,19,31,6,30,53,60
degraded_ego,19,31,5,29,52,60
ambiguous_local_context,19,31,8,32,55,60
noisy_untrusted_external,19,31,6,30,53,60
nominal,19,32,7,31,54,60
degraded_ego,19,32,6,30,53,60
ambiguous_local_context,19,32,8,32,55,60
noisy_untrusted_external,19,32,8,32,55,60
nominal,19,33,6,30,53,60
degraded_ego,19,33,6,30,53,60
ambiguous_local_context,19,33,5,29,52,60
noisy_untrusted_external,19,33,7,31,54,60
nominal,19,34,6,30,53,60
degraded_ego,19,34,7,31,54,60
ambiguous_local_context,19,34,8,32,55,60
noisy_untrusted_external,19,34,6,30,53,60
nominal,19,35,5,29,52,60
degraded_ego,19,35,8,32,55,60
ambiguous_local_context,19,35,7,31,54,60
noisy_untrusted_external,19,35,8,32,55,60
nominal,19,36,6,30,53,60
degraded_ego,19,36,6,30,53,60
ambiguous_local_context,19,36,6,30,53,60
noisy_untrusted_external,19,36,5,29,52,60
nominal,19,37,6,30,53,60
degraded_ego,19,37,6,30,53,60
ambiguous_local_context,19,37,7,31,54,60
noisy_untrusted_external,19,37,7,31,54,60
nominal,19,38,8,32,55,60
degraded_ego,19,38,8,32,55,60
ambiguous_local_context,19,38,8,32,55,60
noisy_untrusted_external,19,38,8,32,55,60
nominal,19,39,5,29,52,60
degraded_ego,19,39,8,32,55,60
ambiguous_local_context,19,39,6,30,53,60
noisy_untrusted_external,19,39,7,31,54,60
nominal,19,40,6,30,53,60
degraded_ego,19,40,5,29,52,60
ambiguous_local_context,19,40,7,31,54,60
noisy_untrusted_external,19,40,6,30,53,60
nominal,19,41,8,32,55,60
degraded_ego,19,41,6,30,53,60
ambiguous_local_context,19,41,8,32,55,60
noisy_untrusted_external,19,41,5,29,52,60
nominal,19,42,7,31,54,60
degraded_ego,19,42,8,32,55,60
ambiguous_local_context,19,42,6,30,53,60
noisy_untrusted_external,19,42,6,30,53,60
nominal,19,43,5,29,52,60
degraded_ego,19,43,6,30,53,60
ambiguous_local_context,19,43,7,31,54,60
noisy_untrusted_external,19,43,6,30,53,60
nominal,19,44,5,29,52,60
degraded_ego,19,44,5,29,52,60
ambiguous_local_context,19,44,5,29,52,60
noisy_untrusted_external,19,44,5,29,52,60
nominal,19,45,7,31,54,60
degraded_ego,19,45,6,30,53,60
ambiguous_local_context,19,45,7,31,54,60
noisy_untrusted_external,19,45,8,32,55,60
nominal,19,46,5,29,52,60
degraded_ego,19,46,5,29,52,60
ambiguous_local_context,19,46,8,32,55,60
noisy_untrusted_external,19,46,6,30,53,60
nominal,19,47,7,31,54,60
degraded_ego,19,47,5,29,52,60
ambiguous_local_context,19,47,8,32,55,60
noisy_untrusted_external,19,47,6,30,53,60
nominal,19,48,8,32,55,60
degraded_ego,19,48,6,30,53,60
ambiguous_local_context,19,48,6,30,53,60
noisy_untrusted_external,19,48,7,31,54,60
nominal,19,49,6,30,53,60
degraded_ego,19,49,5,29,52,60
ambiguous_local_context,19,49,8,32,55,60
noisy_untrusted_external,19,49,8,32,55,60
