scenario,policy,policy_label,seed,episode,overall_context_accuracy
nominal,ego_only,Ego-only,13,5,0.2708333333333333
nominal,ego_only,Ego-only,13,6,0.08333333333333333
nominal,ego_only,Ego-only,13,7,0.16666666666666666
nominal,ego_only,Ego-only,13,8,0.14583333333333334
nominal,ego_only,Ego-only,13,9,0.10416666666666667
nominal,ego_only,Ego-only,13,10,0.125
nominal,ego_only,Ego-only,13,11,0.16666666666666666
nominal,ego_only,Ego-only,13,12,0.14583333333333334
nominal,ego_only,Ego-only,13,13,0.08333333333333333
nominal,ego_only,Ego-only,13,14,0.125
nominal,ego_only,Ego-only,13,15,0.125
nominal,ego_only,Ego-only,13,16,0.1875
nominal,ego_only,Ego-only,13,17,0.10416666666666667
nominal,ego_only,Ego-only,13,18,0.16666666666666666
nominal,ego_only,Ego-only,13,19,0.0625
nominal,ego_only,Ego-only,13,20,0.1875
nominal,ego_only,Ego-only,13,21,0.14583333333333334
nominal,ego_only,Ego-only,13,22,0.125
nominal,ego_only,Ego-only,13,23,0.125
nominal,ego_only,Ego-only,13,24,0.125
nominal,ego_only,Ego-only,13,25,0.1875
nominal,ego_only,Ego-only,13,26,0.0625
nominal,ego_only,Ego-only,13,27,0.125
nominal,ego_only,Ego-only,13,28,0.0625
nominal,ego_only,Ego-only,13,29,0.125
nominal,ego_only,Ego-only,13,30,0.16666666666666666
nominal,ego_only,Ego-only,13,31,0.0625
nominal,ego_only,Ego-only,13,32,0.08333333333333333
nominal,ego_only,Ego-only,13,33,0.0625
nominal,ego_only,Ego-only,13,34,0.10416666666666667
nominal,ego_only,Ego-only,13,35,0.08333333333333333
nominal,ego_only,Ego-only,13,36,0.10416666666666667
nominal,ego_only,Ego-only,13,37,0.125
nominal,ego_only,Ego-only,13,38,0.08333333333333333
nominal,ego_only,Ego-only,13,39,0.2916666666666667
nominal,ego_only,Ego-only,13,40,0.10416666666666667
nominal,ego_only,Ego-only,13,41,0.125
nominal,ego_only,Ego-only,13,42,0.08333333333333333
nominal,ego_only,Ego-only,13,43,0.14583333333333334
nominal,ego_only,Ego-only,13,44,0.14583333333333334
nominal,ego_only,Ego-only,13,45,0.16666666666666666
nominal,ego_only,Ego-only,13,46,0.10416666666666667
nominal,ego_only,Ego-only,13,47,0.125
nominal,ego_only,Ego-only,13,48,0.10416666666666667
nominal,ego_only,Ego-only,13,49,0.125
nominal,ego_only,Ego-only,17,0,0.1875
nominal,ego_only,Ego-only,17,1,0.10416666666666667
nominal,ego_only,Ego-only,17,2,0.10416666666666667
nominal,ego_only,Ego-only,17,3,0.125
nominal,ego_only,Ego-only,17,4,0.125
nominal,ego_only,Ego-only,17,5,0.20833333333333334
nominal,ego_only,Ego-only,17,6,0.1875
nominal,ego_only,Ego-only,17,7,0.14583333333333334
nominal,ego_only,Ego-only,17,8,0.10416666666666667
nominal,ego_only,Ego-only,17,9,0.14583333333333334
nominal,ego_only,Ego-only,17,10,0.10416666666666667
nominal,ego_only,Ego-only,17,11,0.0625
nominal,ego_only,Ego-only,17,12,0.125
nominal,ego_only,Ego-only,17,13,0.10416666666666667
nominal,ego_only,Ego-only,17,14,0.0625
nominal,ego_only,Ego-only,17,15,0.125
nominal,ego_only,Ego-only,17,16,0.125
nominal,ego_only,Ego-only,17,17,0.08333333333333333
nominal,ego_only,Ego-only,17,18,0.10416666666666667
nominal,ego_only,Ego-only,17,19,0.0625
nominal,ego_only,Ego-only,17,20,0.10416666666666667
nominal,ego_only,Ego-only,17,21,0.14583333333333334
nominal,ego_only,Ego-only,17,22,0.125
nominal,ego_only,Ego-only,17,23,0.22916666666666666
nominal,ego_only,Ego-only,17,24,0.08333333333333333
nominal,ego_only,Ego-only,17,25,0.125
nominal,ego_only,Ego-only,17,26,0.08333333333333333
nominal,ego_only,Ego-only,17,27,0.20833333333333334
nominal,ego_only,Ego-only,17,28,0.22916666666666666
nominal,ego_only,Ego-only,17,29,0.125
nominal,ego_only,Ego-only,17,30,0.20833333333333334
nominal,ego_only,Ego-only,17,31,0.14583333333333334
nominal,ego_only,Ego-only,17,32,0.14583333333333334
nominal,ego_only,Ego-only,17,33,0.16666666666666666
nominal,ego_only,Ego-only,17,34,0.20833333333333334
nominal,ego_only,Ego-only,17,35,0.14583333333333334
nominal,ego_only,Ego-only,17,36,0.20833333333333334
nominal,ego_only,Ego-only,17,37,0.08333333333333333
nominal,ego_only,Ego-only,17,38,0.10416666666666667
nominal,ego_only,Ego-only,17,39,0.125
nominal,ego_only,Ego-only,17,40,0.08333333333333333
nominal,ego_only,Ego-only,17,41,0.125
nominal,ego_only,Ego-only,17,42,0.16666666666666666
nominal,ego_only,Ego-only,17,43,0.20833333333333334
nominal,ego_only,Ego-only,17,44,0.10416666666666667
nominal,ego_only,Ego-only,17,45,0.1875
nominal,ego_only,Ego-only,17,46,0.125
nominal,ego_only,Ego-only,17,47,0.1875
nominal,ego_only,Ego-only,17,48,0.10416666666666667
nominal,ego_only,Ego-only,17,49,0.16666666666666666
nominal,ego_only,Ego-only,19,0,0.14583333333333334
nominal,ego_only,Ego-only,19,1,0.16666666666666666
nominal,ego_only,Ego-only,19,2,0.08333333333333333
nominal,ego_only,Ego-only,19,3,0.10416666666666667
nominal,ego_only,Ego-only,19,4,0.08333333333333333
nominal,ego_only,Ego-only,19,5,0.125
nominal,ego_only,Ego-only,19,6,0.1875
nominal,ego_only,Ego-only,19,7,0.10416666666666667
nominal,ego_only,Ego-only,19,8,0.20833333333333334
nominal,ego_only,Ego-only,19,9,0.22916666666666666
nominal,ego_only,Ego-only,19,10,0.1875
nominal,ego_only,Ego-only,19,11,0.10416666666666667
nominal,ego_only,Ego-only,19,12,0.16666666666666666
nominal,ego_only,Ego-only,19,13,0.10416666666666667
nominal,ego_only,Ego-only,19,14,0.125
nominal,ego_only,Ego-only,19,15,0.22916666666666666
nominal,ego_only,Ego-only,19,16,0.08333333333333333
nominal,ego_only,Ego-only,19,17,0.125
nominal,ego_only,Ego-only,19,18,0.16666666666666666
nominal,ego_only,Ego-only,19,19,0.22916666666666666
nominal,ego_only,Ego-only,19,20,0.14583333333333334
nominal,ego_only,Ego-only,19,21,0.1875
nominal,ego_only,Ego-only,19,22,0.14583333333333334
nominal,ego_only,Ego-only,19,23,0.10416666666666667
nominal,ego_only,Ego-only,19,24,0.1875
nominal,ego_only,Ego-only,19,25,0.14583333333333334
nominal,ego_only,Ego-only,19,26,0.1875
nominal,ego_only,Ego-only,19,27,0.125
nominal,ego_only,Ego-only,19,28,0.16666666666666666
nominal,ego_only,Ego-only,19,29,0.0625
nominal,ego_only,Ego-only,19,30,0.14583333333333334
nominal,ego_only,Ego-only,19,31,0.10416666666666667
nominal,ego_only,Ego-only,19,32,0.10416666666666667
nominal,ego_only,Ego-only,19,33,0.125
nominal,ego_only,Ego-only,19,34,0.16666666666666666
nominal,ego_only,Ego-only,19,35,0.20833333333333334
nominal,ego_only,Ego-only,19,36,0.1875
nominal,ego_only,Ego-only,19,37,0.125
nominal,ego_only,Ego-only,19,38,0.1875
nominal,ego_only,Ego-only,19,39,0.1875
nominal,ego_only,Ego-only,19,40,0.0625
nominal,ego_only,Ego-only,19,41,0.1875
nominal,ego_only,Ego-only,19,42,0.08333333333333333
nominal,ego_only,Ego-only,19,43,0.16666666666666666
nominal,ego_only,Ego-only,19,44,0.0625
nominal,ego_only,Ego-only,19,45,0.08333333333333333
nominal,ego_only,Ego-only,19,46,0.10416666666666667
nominal,ego_only,Ego-only,19,47,0.14583333333333334
nominal,ego_only,Ego-only,19,48,0.08333333333333333
nominal,ego_only,Ego-only,19,49,0.1875
nominal,opportunistic_all,Opportunistic all,7,0,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,7,1,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,7,2,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,7,3,0.8125
nominal,opportunistic_all,Opportunistic all,7,4,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,7,5,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,7,6,0.875
nominal,opportunistic_all,Opportunistic all,7,7,0.9375
nominal,opportunistic_all,Opportunistic all,7,8,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,7,9,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,7,10,0.875
nominal,opportunistic_all,Opportunistic all,7,11,0.75
nominal,opportunistic_all,Opportunistic all,7,12,0.875
nominal,opportunistic_all,Opportunistic all,7,13,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,7,14,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,7,15,0.8125
nominal,opportunistic_all,Opportunistic all,7,16,0.8125
nominal,opportunistic_all,Opportunistic all,7,17,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,7,18,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,7,19,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,7,20,0.8125
nominal,opportunistic_all,Opportunistic all,7,21,0.8125
nominal,opportunistic_all,Opportunistic all,7,22,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,7,23,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,7,24,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,7,25,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,7,26,0.875
nominal,opportunistic_all,Opportunistic all,7,27,1.0
nominal,opportunistic_all,Opportunistic all,7,28,0.875
nominal,opportunistic_all,Opportunistic all,7,29,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,7,30,0.625
nominal,opportunistic_all,Opportunistic all,7,31,0.6875
nominal,opportunistic_all,Opportunistic all,7,32,0.75
nominal,opportunistic_all,Opportunistic all,7,33,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,7,34,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,7,35,0.75
nominal,opportunistic_all,Opportunistic all,7,36,0.6458333333333334
nominal,opportunistic_all,Opportunistic all,7,37,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,7,38,0.7083333333333334
