scenario,policy,policy_label,discovery_mode,parameter_name,parameter_value,OCA,MVA,Macro_F1_mean,mean_sources,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,latency_proxy,privacy_cost,OCA_per_total_cost,adaptive_activation_rate
degraded_ego,ego_only,Ego-only,exhaustive_hop,hop_radius,1/2,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,hop_radius,1/2,0.4817708333333333,0.8548177083333334,0.821677345940243,30.375,72.815625,43.95939652001175,0.0,116.77502152001176,1.0104004572094598,3.795462063367772,1.0104004572094598,3.795462063367772,0.0041256325801727394,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,hop_radius,1/2,0.14322916666666666,0.615234375,0.5723606685469929,4.177083333333334,38.84947916666667,5.982387812427076,7.53125,45.58499197909374,0.654706722865533,1.1170768909508122,0.654706722865533,1.1170768909508122,0.003142024610476067,0.703125
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,hop_radius,1/2,0.14583333333333331,0.6009114583333333,0.5546933172036126,3.96875,38.84947916666667,5.670389368776895,7.53125,45.27299353544356,0.6439251587829528,1.0635057000925685,0.6439251587829528,1.0635057000925685,0.0032211992613027135,0.703125
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,hop_radius,1/2,0.0703125,0.47265625,0.4115826474298713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.0
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,hop_radius,1/2,0.49479166666666663,0.859375,0.8251257625194385,30.5,74.384375,43.72529871622545,0.0,118.10967371622546,0.9686889438348683,3.839746584121918,0.9686889438348683,3.839746584121918,0.004189256062593745,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,hop_radius,1/2,0.16927083333333334,0.6217447916666667,0.5682053443569306,3.4453125,23.892057291666667,4.954356609919472,7.169270833333334,29.56334098491947,0.5721501341391688,1.0766544890869643,0.5721501341391688,1.0766544890869643,0.005725700401036538,0.2630208333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,hop_radius,1/2,0.1640625,0.59765625,0.545582733271128,3.419270833333333,23.892057291666667,4.916465036481023,7.169270833333334,29.525449411481024,0.5707333437629594,1.0721612081170158,0.5707333437629594,1.0721612081170158,0.0055566470035238145,0.2630208333333333
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,hop_radius,1/2,0.08854166666666666,0.5006510416666666,0.42518553032108486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854166666666666,0.0
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,hop_radius,1/2,0.2526041666666667,0.708984375,0.6448787814685499,30.1875,73.89687500000001,45.501093889975095,0.0,119.39796888997509,1.192435824553458,3.6140845159729134,1.192435824553458,3.6140845159729134,0.0021156487753945024,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,hop_radius,1/2,0.1015625,0.5494791666666666,0.4858992250389432,1.9765625,24.379296875,2.943792857539221,6.705729166666667,27.993662649205888,0.6449103925510373,0.6884293540445507,0.6449103925510373,0.6884293540445507,0.003628053294515253,0.30989583333333337
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,hop_radius,1/2,0.09895833333333331,0.5423177083333333,0.4802706739535906,1.5130208333333335,24.379296875,2.2524124096087252,6.705729166666667,27.302282201275393,0.6217233820603771,0.5248522828949822,0.6217233820603771,0.5248522828949822,0.003624544373389804,0.30989583333333337
degraded_ego,ego_only,Ego-only,exhaustive_hop,hop_radius,2/3,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,hop_radius,2/3,0.7552083333333334,0.9329427083333334,0.9045199820187376,53.375,157.00625,84.50089384352299,0.0,241.50714384352295,1.3278019169591895,8.433367082303821,1.3278019169591895,8.433367082303821,0.0031270641576658584,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,hop_radius,2/3,0.14322916666666666,0.615234375,0.5723606685469929,4.177083333333334,51.719140625,5.982387812427076,8.0,58.501528437427076,0.654706722865533,1.1170768909508122,0.654706722865533,1.1170768909508122,0.0024482978563519723,0.703125
