scenario,policy,policy_label,variable,macro_f1,ci95_low,ci95_high,aggregation_basis
nominal,ego_only,Ego-only,activity,0.531575956077615,0.5221639296034184,0.5408394629968388,seed_episode_combinations
nominal,ego_only,Ego-only,env_load,0.5749794618056561,0.5662678830144731,0.5840822957205386,seed_episode_combinations
nominal,ego_only,Ego-only,place,0.5357554131713641,0.5259260597446898,0.5456920772695815,seed_episode_combinations
nominal,ego_only,Ego-only,resource_state,0.43331369414502635,0.4239136940643547,0.44331332092765885,seed_episode_combinations
nominal,opportunistic_all,Opportunistic all,activity,0.8642240563395565,0.8539821051983102,0.8741939546280469,seed_episode_combinations
nominal,opportunistic_all,Opportunistic all,env_load,0.9989811906832337,0.998369743750797,0.9995073885478578,seed_episode_combinations
nominal,opportunistic_all,Opportunistic all,place,0.9907667927474825,0.985214208779726,0.9954622279789176,seed_episode_combinations
nominal,opportunistic_all,Opportunistic all,resource_state,0.8776377918912137,0.8672873510093708,0.8879747368791939,seed_episode_combinations
nominal,siot_aware,SIoT-aware,activity,0.6587900289709193,0.6479357639704605,0.6701261020646464,seed_episode_combinations
nominal,siot_aware,SIoT-aware,env_load,0.6320389257182749,0.6242867820468717,0.6408599567802081,seed_episode_combinations
nominal,siot_aware,SIoT-aware,place,0.6622594708079593,0.6518952919662897,0.6732383616671088,seed_episode_combinations
nominal,siot_aware,SIoT-aware,resource_state,0.5895027596051655,0.5766645443130067,0.6031443508461533,seed_episode_combinations
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,activity,0.6385917439590433,0.6297564027086786,0.6479851993472711,seed_episode_combinations
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,env_load,0.628869037810952,0.6203617128835047,0.6379847173065226,seed_episode_combinations
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,place,0.6485277495916294,0.638649805904801,0.6583656065083892,seed_episode_combinations
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,resource_state,0.5706114745390175,0.5592213225302834,0.5832074082015427,seed_episode_combinations
degraded_ego,ego_only,Ego-only,activity,0.2628968799413168,0.2540570187161665,0.27122805164006586,seed_episode_combinations
degraded_ego,ego_only,Ego-only,env_load,0.32638648234948553,0.31871899440425877,0.33412137358289135,seed_episode_combinations
degraded_ego,ego_only,Ego-only,place,0.26527036871931226,0.25680960358040694,0.27367064543348624,seed_episode_combinations
degraded_ego,ego_only,Ego-only,resource_state,0.2983150443439806,0.2901602963509039,0.3066005709483311,seed_episode_combinations
degraded_ego,opportunistic_all,Opportunistic all,activity,0.8445842191749432,0.8333763374701451,0.8557292419692996,seed_episode_combinations
degraded_ego,opportunistic_all,Opportunistic all,env_load,0.9974853267875099,0.9964317297751032,0.9984010760637486,seed_episode_combinations
degraded_ego,opportunistic_all,Opportunistic all,place,0.9959950529701417,0.9925452174742371,0.9988458163297714,seed_episode_combinations
degraded_ego,opportunistic_all,Opportunistic all,resource_state,0.8979404384749414,0.8895852685447827,0.9053714648545832,seed_episode_combinations
degraded_ego,siot_aware,SIoT-aware,activity,0.5792362997064895,0.5642215112187715,0.5949642663127769,seed_episode_combinations
degraded_ego,siot_aware,SIoT-aware,env_load,0.5861846455160407,0.5734321493088159,0.5989515398220697,seed_episode_combinations
degraded_ego,siot_aware,SIoT-aware,place,0.6141744723429607,0.6005810233052925,0.6280439565607875,seed_episode_combinations
degraded_ego,siot_aware,SIoT-aware,resource_state,0.6045733308866416,0.5910732826538464,0.6180840613158838,seed_episode_combinations
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,activity,0.5635108380911764,0.5502554076305602,0.576604328657058,seed_episode_combinations
