experiment_tag,run_type,policy_id,policy,policy_label,discovery_mode,scenario,graph_size,episodes,timesteps,seeds,adaptive_enabled,bounded_discovery_enabled,OCA,MVA,Macro_F1_mean,mean_sources,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,OCA_per_source,OCA_per_total_cost
budget_matched,budget_matched,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,nominal,60,30,48,"7,11,13,17,19",True,True,0.22208333333333333,0.6756944444444446,0.6344728625739098,3.207222222222222,51.039,4.646372350759495,8.119305555555556,56.49730290631504,0.5793342624994487,1.0441651826701375,0.06924476009007448,0.003930866110575161
budget_matched,budget_matched,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,nominal,60,30,48,"7,11,13,17,19",True,True,0.2058333333333333,0.6625347222222223,0.6209097794292252,3.02875,51.039,4.377322969398992,8.119305555555556,56.22825352495454,0.5711804102066675,0.9839697254686233,0.06795982941257393,0.0036606744906630055
budget_matched,budget_matched,random_k,random_k,Random-k,exhaustive_hop,nominal,60,30,48,"7,11,13,17,19",True,False,0.18958333333333333,0.6495486111111111,0.6038657649973211,3.305555555555555,86.80595833333332,4.8054837083138295,34.04055555555556,95.01549759720272,1.0141149558411446,0.41919313984888407,0.0573529411764706,0.0019952885384764297
budget_matched,budget_matched,budgeted_opportunistic_k,budgeted_opportunistic_k,Budgeted opportunistic,exhaustive_hop,nominal,60,30,48,"7,11,13,17,19",True,False,0.20361111111111113,0.6581944444444444,0.6125982795881207,3.305555555555555,86.80595833333332,4.579447567085037,34.04055555555556,94.78946145597392,0.8043316682763966,0.46086954131575814,0.0615966386554622,0.002148035319365969
budget_matched,budget_matched,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,degraded_ego,60,30,48,"7,11,13,17,19",True,True,0.15430555555555553,0.6196527777777778,0.5953399023436804,4.12625,52.75827777777778,5.872171920187919,8.220416666666667,59.45249136463236,0.6295282524551166,1.096406791540968,0.037396075263388194,0.002595443050639762
budget_matched,budget_matched,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,degraded_ego,60,30,48,"7,11,13,17,19",True,True,0.13569444444444445,0.601736111111111,0.5766296934454378,3.8684722222222216,52.75827777777778,5.500282623076179,8.220416666666667,59.080602067520616,0.6153877793263338,1.0461212464152034,0.03507701145298532,0.002296768138709305
budget_matched,budget_matched,random_k,random_k,Random-k,exhaustive_hop,degraded_ego,60,30,48,"7,11,13,17,19",True,False,0.09347222222222222,0.558125,0.5299844079995792,4.4188888888888895,133.32347916666666,6.581926691213327,46.823888888888895,144.58779474676888,1.0983851536129359,0.59401521115582,0.02115287905456374,0.0006464738077368806
budget_matched,budget_matched,budgeted_opportunistic_k,budgeted_opportunistic_k,Budgeted opportunistic,exhaustive_hop,degraded_ego,60,30,48,"7,11,13,17,19",True,False,0.12652777777777777,0.5937847222222222,0.5674364761865112,4.4188888888888895,133.32347916666666,6.2873565245658165,46.823888888888895,144.29322458012138,0.8052895990262847,0.8396064913981779,0.028633392004023126,0.0008768795495835702
budget_matched,budget_matched,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,ambiguous_local_context,60,30,48,"7,11,13,17,19",True,True,0.13555555555555554,0.6058680555555557,0.571153612584531,3.390416666666667,51.81740277777778,4.9208934495071714,8.165833333333333,57.55487956061828,0.6088367985136024,1.061061144472721,0.039981975338986515,0.002355240017708402
budget_matched,budget_matched,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,ambiguous_local_context,60,30,48,"7,11,13,17,19",True,True,0.12,0.5906944444444444,0.5556361557295808,3.1025,51.81740277777778,4.477239463825516,8.165833333333333,57.111225574936626,0.585279636739919,0.9641232887177434,0.0386784850926672,0.0021011631039601123
budget_matched,budget_matched,random_k,random_k,Random-k,exhaustive_hop,ambiguous_local_context,60,30,48,"7,11,13,17,19",True,False,0.09916666666666667,0.5766666666666667,0.5386286028094235,3.5375,96.12911805555554,5.170059787150264,36.547916666666666,104.95396950937247,1.0297041465866725,0.4500081099388202,0.028032979976442874,0.0009448586568973078
budget_matched,budget_matched,budgeted_opportunistic_k,budgeted_opportunistic_k,Budgeted opportunistic,exhaustive_hop,ambiguous_local_context,60,30,48,"7,11,13,17,19",True,False,0.11166666666666666,0.5888888888888889,0.5522213379419805,3.5375,96.12911805555554,4.9347787217446575,36.547916666666666,104.7186884439669,0.8096686653181103,0.5358638450050213,0.031566548881036514,0.0010663489805491358
budget_matched,budget_matched,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,noisy_untrusted_external,60,30,48,"7,11,13,17,19",True,True,0.1011111111111111,0.5552777777777778,0.5091034645178935,2.089166666666667,52.05833333333333,3.1096787499609833,8.131666666666666,55.98117874996099,0.666140738941211,0.7143482449608609,0.04839781943890439,0.0018061625955166504
budget_matched,budget_matched,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,noisy_untrusted_external,60,30,48,"7,11,13,17,19",True,True,0.09833333333333333,0.5509027777777779,0.5042478064967415,1.4636111111111112,52.05833333333333,2.166106975055051,8.131666666666666,55.03760697505505,0.6340462477596774,0.49430115836180494,0.06718542417916112,0.001786657137507839
budget_matched,budget_matched,random_k,random_k,Random-k,exhaustive_hop,noisy_untrusted_external,60,30,48,"7,11,13,17,19",True,False,0.10833333333333334,0.5649305555555555,0.5152193128432183,3.612777777777778,99.97703472222223,5.546463229832054,37.53361111111111,109.27685906316539,1.2364377731070575,0.46439071649579716,0.029986160233738273,0.0009913657316112403
budget_matched,budget_matched,budgeted_opportunistic_k,budgeted_opportunistic_k,Budgeted opportunistic,exhaustive_hop,noisy_untrusted_external,60,30,48,"7,11,13,17,19",True,False,0.1151388888888889,0.5716319444444444,0.5240503380593244,3.612777777777778,99.97703472222223,5.290438886780697,37.53361111111111,109.02083472011402,0.9986760173082907,0.5605162561297229,0.03186990619713978,0.0010561182106565371
