scenario,policy,policy_label,discovery_mode,episode,place,activity,env_load,resource_state,mean_variable_accuracy,overall_context_accuracy,nodes_visited,visited_node_count,traversed_edge_count,scored_candidate_count,candidate_variable_coverage_count,all_variables_covered_by_candidates,recruited_variable_coverage_count,all_variables_covered_by_recruited_sources,discovered_candidate_count,selected_source_count,estimated_latency,privacy_exposure_cost,discovery_cost,recruitment_cost,selection_cost,total_operational_cost,ego_missing_rate,convergence_time,adaptive_activation_rate,seed,macro_f1_place,macro_f1_activity,macro_f1_env_load,macro_f1_resource_state
nominal,ego_only,Ego-only,exhaustive_hop,13,0.7083333333333334,0.5833333333333334,0.6666666666666666,0.7708333333333334,0.6822916666666666,0.2708333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,2.525,0.0,7,0.6417434715821811,0.5753396029258098,0.6575091575091575,0.6453102453102453
nominal,ego_only,Ego-only,exhaustive_hop,14,0.5625,0.3958333333333333,0.6666666666666666,0.5208333333333334,0.5364583333333334,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,5.657894736842105,0.0,7,0.5223076923076924,0.3500952380952381,0.6658496732026145,0.4355020796197267
nominal,ego_only,Ego-only,exhaustive_hop,15,0.5625,0.5625,0.5416666666666666,0.5,0.5416666666666666,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666666,4.953488372093023,0.0,7,0.40711650922177245,0.5137301720119057,0.5333740333740334,0.4514991181657848
nominal,ego_only,Ego-only,exhaustive_hop,16,0.4583333333333333,0.5208333333333334,0.5625,0.5833333333333334,0.53125,0.10416666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19270833333333334,7.513513513513513,0.0,7,0.39896945160103053,0.4977777777777777,0.5273423894113549,0.43197586726998494
nominal,ego_only,Ego-only,exhaustive_hop,17,0.7083333333333334,0.625,0.6458333333333334,0.6458333333333334,0.65625,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16145833333333334,3.977272727272727,0.0,7,0.6492823858341099,0.5661187451387087,0.6342305037957212,0.5048611111111111
nominal,ego_only,Ego-only,exhaustive_hop,18,0.5416666666666666,0.5208333333333334,0.5833333333333334,0.5,0.5364583333333334,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19270833333333334,3.6956521739130435,0.0,7,0.5311736288718386,0.5265418791734582,0.5847362514029181,0.41976409951432253
nominal,ego_only,Ego-only,exhaustive_hop,19,0.5833333333333334,0.5208333333333334,0.5625,0.5208333333333334,0.546875,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16145833333333334,5.108108108108108,0.0,7,0.5502331002331002,0.5354858934169279,0.5582887700534759,0.32222222222222224
nominal,ego_only,Ego-only,exhaustive_hop,20,0.5,0.5,0.5833333333333334,0.4375,0.5052083333333334,0.10416666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,7.107142857142857,0.0,7,0.4423015873015873,0.486902496883921,0.5751170710940826,0.3447431985761506
nominal,ego_only,Ego-only,exhaustive_hop,21,0.6458333333333334,0.5,0.6041666666666666,0.5416666666666666,0.5729166666666666,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13020833333333334,4.333333333333333,0.0,7,0.6119838781907747,0.5153157894736842,0.6015712682379348,0.47471776589423653
nominal,ego_only,Ego-only,exhaustive_hop,22,0.5208333333333334,0.5208333333333334,0.6041666666666666,0.4791666666666667,0.53125,0.10416666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24479166666666666,4.948717948717949,0.0,7,0.4795347564313081,0.5143965975544923,0.5635867446393762,0.3688311688311688
nominal,ego_only,Ego-only,exhaustive_hop,23,0.5625,0.5416666666666666,0.6666666666666666,0.5,0.5677083333333334,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666666,3.311111111111111,0.0,7,0.5416579588993382,0.5399732620320855,0.6390525864210075,0.40337514934289126
nominal,ego_only,Ego-only,exhaustive_hop,24,0.625,0.4375,0.625,0.6666666666666666,0.5885416666666666,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21354166666666666,6.375,0.0,7,0.5945304695304695,0.38437118437118434,0.6260386119257086,0.5118499573742541
nominal,ego_only,Ego-only,exhaustive_hop,25,0.5416666666666666,0.5416666666666666,0.7083333333333334,0.625,0.6041666666666666,0.20833333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,3.048780487804878,0.0,7,0.5698544418544419,0.5390909090909091,0.7086680673999918,0.48040752351097177
nominal,ego_only,Ego-only,exhaustive_hop,26,0.6875,0.6458333333333334,0.6875,0.625,0.6614583333333334,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15104166666666666,2.4318181818181817,0.0,7,0.61577964519141,0.6246269952581314,0.6890756302521007,0.44900992727079686
nominal,ego_only,Ego-only,exhaustive_hop,27,0.6875,0.625,0.625,0.5833333333333334,0.6302083333333334,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19791666666666666,1.631578947368421,0.0,7,0.6565353535353535,0.63812657930305,0.5879629629629629,0.4120085845283387
nominal,ego_only,Ego-only,exhaustive_hop,28,0.6666666666666666,0.5208333333333334,0.6458333333333334,0.7083333333333334,0.6354166666666666,0.20833333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13541666666666666,5.341463414634147,0.0,7,0.6522285443338075,0.5167757415704649,0.6231060606060607,0.6500830840810901
nominal,ego_only,Ego-only,exhaustive_hop,29,0.5416666666666666,0.5,0.6458333333333334,0.5416666666666666,0.5572916666666666,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18229166666666666,11.707317073170731,0.0,7,0.4581435993200699,0.486060606060606,0.6388888888888888,0.4185185185185185
nominal,ego_only,Ego-only,exhaustive_hop,30,0.6875,0.5208333333333334,0.5833333333333334,0.5208333333333334,0.578125,0.08333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,4.733333333333333,0.0,7,0.6350877192982456,0.5292931776947122,0.5816568448147396,0.39961013645224175
nominal,ego_only,Ego-only,exhaustive_hop,31,0.4583333333333333,0.5208333333333334,0.6041666666666666,0.5,0.5208333333333334,0.08333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23958333333333334,6.428571428571429,0.0,7,0.41675324675324676,0.497913752913753,0.5656980056980058,0.333984837716181
nominal,ego_only,Ego-only,exhaustive_hop,32,0.5833333333333334,0.6041666666666666,0.4375,0.6458333333333334,0.5677083333333334,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22395833333333334,6.181818181818182,0.0,7,0.5454248366013073,0.5509803921568628,0.4400326797385621,0.528042328042328
nominal,ego_only,Ego-only,exhaustive_hop,33,0.5,0.5625,0.5625,0.5,0.53125,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21354166666666666,3.323529411764706,0.0,7,0.46998177261335156,0.49303030303030304,0.5593194820837097,0.2638888888888889
nominal,ego_only,Ego-only,exhaustive_hop,34,0.6666666666666666,0.5833333333333334,0.625,0.6458333333333334,0.6302083333333334,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15104166666666666,3.5348837209302326,0.0,7,0.6691646690023972,0.5388028895768834,0.6339042599912165,0.4993464052287582
nominal,ego_only,Ego-only,exhaustive_hop,35,0.6875,0.5833333333333334,0.5,0.5625,0.5833333333333334,0.08333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22395833333333334,4.409090909090909,0.0,7,0.6003942652329749,0.5271704903283851,0.47924297924297926,0.4281389748882009
nominal,ego_only,Ego-only,exhaustive_hop,36,0.5625,0.5625,0.5416666666666666,0.625,0.5729166666666666,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16145833333333334,6.151515151515151,0.0,7,0.43184815184815195,0.5464801864801865,0.5452309452309453,0.5043290043290044
nominal,ego_only,Ego-only,exhaustive_hop,37,0.5208333333333334,0.6041666666666666,0.5416666666666666,0.6458333333333334,0.578125,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234375,4.840909090909091,0.0,7,0.45646353646353655,0.5680952380952381,0.533868092691622,0.4142628205128205
nominal,ego_only,Ego-only,exhaustive_hop,38,0.4583333333333333,0.5625,0.5833333333333334,0.6666666666666666,0.5677083333333334,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18229166666666666,3.7222222222222223,0.0,7,0.37724310776942355,0.5278869969040249,0.5563643517607711,0.46730158730158733
nominal,ego_only,Ego-only,exhaustive_hop,39,0.5625,0.4791666666666667,0.5416666666666666,0.5,0.5208333333333334,0.041666666666666664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21354166666666666,8.794117647058824,0.0,7,0.5439283475145544,0.46726695526695516,0.5416026389657221,0.4161273209549072
nominal,ego_only,Ego-only,exhaustive_hop,40,0.6875,0.6041666666666666,0.5833333333333334,0.5416666666666666,0.6041666666666666,0.10416666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,7.3,0.0,7,0.5644736842105263,0.6206178206178207,0.5500658761528326,0.446226795803067
nominal,ego_only,Ego-only,exhaustive_hop,41,0.4375,0.5208333333333334,0.5416666666666666,0.5,0.5,0.08333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,4.666666666666667,0.0,7,0.39640200907949386,0.48225718725718725,0.538816153420616,0.3948056415548675
nominal,ego_only,Ego-only,exhaustive_hop,42,0.5625,0.4791666666666667,0.5416666666666666,0.5625,0.5364583333333334,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,2.5238095238095237,0.0,7,0.5101116427432217,0.4414718163860041,0.526745718050066,0.47126577126577124
nominal,ego_only,Ego-only,exhaustive_hop,43,0.5625,0.5,0.625,0.6041666666666666,0.5729166666666666,0.10416666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666666,8.931818181818182,0.0,7,0.3548368794326241,0.5120346320346321,0.6099501843824805,0.5344877344877345
nominal,ego_only,Ego-only,exhaustive_hop,44,0.6666666666666666,0.5,0.4791666666666667,0.5208333333333334,0.5416666666666666,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203125,6.627906976744186,0.0,7,0.6524967061923583,0.4718834305790828,0.4784075573549258,0.4289171203871749
nominal,ego_only,Ego-only,exhaustive_hop,45,0.5208333333333334,0.6041666666666666,0.7083333333333334,0.5208333333333334,0.5885416666666666,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666666,3.522727272727273,0.0,7,0.5103075315489108,0.6124999999999999,0.7081500488758553,0.4560767861683194
nominal,ego_only,Ego-only,exhaustive_hop,46,0.625,0.4791666666666667,0.5833333333333334,0.4375,0.53125,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24479166666666666,2.04,0.0,7,0.5387878787878788,0.48738512949039264,0.5723696593261811,0.28194055399937756
nominal,ego_only,Ego-only,exhaustive_hop,47,0.625,0.5208333333333334,0.5416666666666666,0.4791666666666667,0.5416666666666666,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17708333333333334,3.8684210526315788,0.0,7,0.5836585466665163,0.5279824561403508,0.5449833015755937,0.3294346978557505
nominal,ego_only,Ego-only,exhaustive_hop,48,0.6458333333333334,0.5416666666666666,0.5208333333333334,0.5,0.5520833333333334,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666666,6.222222222222222,0.0,7,0.6496864552272521,0.5488558500323207,0.5328349568325405,0.3938294010889292
nominal,ego_only,Ego-only,exhaustive_hop,49,0.5416666666666666,0.4791666666666667,0.5625,0.5416666666666666,0.53125,0.08333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2604166666666667,8.121951219512194,0.0,7,0.498873527905786,0.44646464646464645,0.5636363636363636,0.37308649062380406
nominal,ego_only,Ego-only,exhaustive_hop,0,0.625,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2604166666666667,5.478260869565218,0.0,11,0.5753890553890554,0.5044890593277691,0.5795124415814071,0.47054933084344847
nominal,ego_only,Ego-only,exhaustive_hop,1,0.5208333333333334,0.5625,0.6875,0.5833333333333334,0.5885416666666666,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234375,5.813953488372093,0.0,11,0.5126979944371249,0.5894173937517591,0.6901495488814732,0.48506375227686704
nominal,ego_only,Ego-only,exhaustive_hop,2,0.6458333333333334,0.6458333333333334,0.625,0.5833333333333334,0.625,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15104166666666666,3.1578947368421053,0.0,11,0.46335030822835693,0.6000828157349897,0.6102645502645503,0.44350335654683487
nominal,ego_only,Ego-only,exhaustive_hop,3,0.5833333333333334,0.5416666666666666,0.5208333333333334,0.6458333333333334,0.5729166666666666,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23958333333333334,3.3636363636363638,0.0,11,0.5935897435897435,0.524274322169059,0.500146763304658,0.425925925925926
nominal,ego_only,Ego-only,exhaustive_hop,4,0.6458333333333334,0.4791666666666667,0.6666666666666666,0.5833333333333334,0.59375,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,5.093023255813954,0.0,11,0.6154578754578754,0.4656318214892069,0.6064498150681462,0.29444444444444445
nominal,ego_only,Ego-only,exhaustive_hop,5,0.625,0.4791666666666667,0.4583333333333333,0.4375,0.5,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21354166666666666,10.541666666666666,0.0,11,0.5838461538461538,0.4902772143340094,0.44536340852130324,0.26292226292226295
