scenario,policy,policy_label,metric,mean,ci95_low,ci95_high,std,median,min,max
nominal,opportunistic_all,Opportunistic all,macro_f1_resource_state,0.8776377918912137,0.8678264700046754,0.8869362211440023,0.08251812526234516,0.889502640729992,0.608816914080072,1.0
nominal,siot_aware,SIoT-aware,overall_context_accuracy,0.21925,0.21149791666666667,0.22825,0.06460311373900374,0.20833333333333334,0.0625,0.4166666666666667
nominal,siot_aware,SIoT-aware,mean_variable_accuracy,0.6763125,0.6712703125,0.6818552083333335,0.04137479874973131,0.6770833333333334,0.5520833333333334,0.796875
nominal,siot_aware,SIoT-aware,convergence_time,3.35704891283075,3.1668995793844408,3.5824481199743587,1.6400816614082594,2.950956937799043,1.0909090909090908,12.552631578947368
nominal,siot_aware,SIoT-aware,nodes_visited,9.33675,9.126166666666668,9.589845833333335,1.8565667028654682,9.0,9.0,19.979166666666668
nominal,siot_aware,SIoT-aware,visited_node_count,9.33675,9.126916666666668,9.5808,1.8565667028654682,9.0,9.0,19.979166666666668
nominal,siot_aware,SIoT-aware,traversed_edge_count,34.08141666666667,33.84195416666667,34.33776666666667,2.0055774475984425,34.0,29.0,39.4375
nominal,siot_aware,SIoT-aware,scored_candidate_count,8.14225,8.053164583333334,8.246693749999999,0.7846444041570749,8.0,8.0,12.625
nominal,siot_aware,SIoT-aware,discovered_candidate_count,8.14225,8.053325,8.24925,0.7846444041570749,8.0,8.0,12.625
nominal,siot_aware,SIoT-aware,selected_source_count,3.2083333333333335,3.1701624999999996,3.2456791666666667,0.31718652284137155,3.2916666666666665,1.3333333333333333,3.625
nominal,siot_aware,SIoT-aware,estimated_latency,0.5839875478097704,0.5715891391758166,0.5943893609112987,0.09569507590566666,0.5917057757874721,0.29996395795343495,0.840703032347204
nominal,siot_aware,SIoT-aware,privacy_exposure_cost,1.0436268556009907,1.0264105361892126,1.0591129825503631,0.13304516668051547,1.0718979219441924,0.3375687590196508,1.2853972378951664
nominal,siot_aware,SIoT-aware,discovery_cost,51.32710416666667,50.84739125000001,51.79545489583334,3.762184396525445,50.800000000000004,43.650000000000006,68.74374999999999
nominal,siot_aware,SIoT-aware,recruitment_cost,4.6538775124918335,4.595465067039793,4.711641900135438,0.47478116584077407,4.765855592163819,1.8058813370275741,5.256455906372521
nominal,siot_aware,SIoT-aware,selection_cost,8.14225,8.053666666666667,8.249172916666666,0.7846444041570749,8.0,8.0,12.625
nominal,siot_aware,SIoT-aware,total_operational_cost,56.7952066791585,56.31253816769641,57.26720906208457,3.866878911433197,56.30412547977063,49.26683709747194,74.78280192293994
nominal,siot_aware,SIoT-aware,ego_missing_rate,0.19737499999999997,0.19312395833333332,0.20123281250000002,0.03345120141262848,0.19791666666666666,0.125,0.3020833333333333
nominal,siot_aware,SIoT-aware,macro_f1_place,0.6622594708079593,0.6511332818900293,0.6728439466855548,0.08817008298824919,0.6661123626106649,0.4019047619047619,0.9046037296037296
nominal,siot_aware,SIoT-aware,macro_f1_activity,0.6587900289709193,0.6477381477918003,0.6694316632867733,0.08697207466586233,0.6521047188106013,0.43683174455552976,0.8594017094017093
nominal,siot_aware,SIoT-aware,macro_f1_env_load,0.6320389257182749,0.6238035123711733,0.6410287385204745,0.06979018634586104,0.6323443223443224,0.45340722495894914,0.8452191587133262
nominal,siot_aware,SIoT-aware,macro_f1_resource_state,0.5895027596051655,0.5765819759174863,0.6019120672776501,0.10444955267424198,0.5844057072870632,0.27847396268448904,0.8831699346405228
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,overall_context_accuracy,0.2029166666666667,0.19616666666666666,0.2100020833333333,0.05797274523509913,0.1875,0.0625,0.3958333333333333
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,mean_variable_accuracy,0.6626458333333334,0.6581875,0.6671671874999999,0.037482338405611035,0.65625,0.546875,0.7604166666666666
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,convergence_time,3.575237243406498,3.370194891106053,3.785415635463471,1.6313518336491593,3.161111111111111,1.1136363636363635,12.552631578947368
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,nodes_visited,9.33675,9.125404166666668,9.590345833333334,1.8565667028654682,9.0,9.0,19.979166666666668
