experiment_tag,run_type,policy_id,policy,policy_label,discovery_mode,scenario,graph_size,episodes,timesteps,seeds,adaptive_enabled,bounded_discovery_enabled,OCA,MVA,mean_sources,mean_discovered_candidate_count,mean_visited_node_count,mean_traversed_edge_count,mean_scored_candidate_count,mean_total_operational_cost,mean_discovery_cost,mean_recruitment_cost,mean_privacy_cost,mean_latency_proxy,OCA_per_total_cost
scalability,scalability,ego_only,ego_only,Ego-only,exhaustive_hop,nominal,60,12,48,"7,11,13",True,False,0.16319444444444448,0.5869502314814814,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16319444444444448
scalability,scalability,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,nominal,60,12,48,"7,11,13",True,False,0.8229166666666666,0.9524016203703705,53.44444444444444,53.44444444444444,54.44444444444444,78.75,0.0,240.58054045406436,156.27638888888885,84.30415156517546,8.463143121345023,1.3102781337846277,0.0034205454236386655
scalability,scalability,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,nominal,60,12,48,"7,11,13",True,True,0.24016203703703706,0.6873553240740741,3.2285879629629632,8.245949074074073,9.574074074074074,33.90277777777777,8.245949074074073,56.6076497543691,51.12696759259259,4.656087254369098,1.0561989094819748,0.5539183979900559,0.00424257212725036
scalability,scalability,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,nominal,60,12,48,"7,11,13",True,True,0.22627314814814817,0.6760706018518519,3.1209490740740744,8.245949074074073,9.574074074074074,33.90277777777777,8.245949074074073,56.43958864770596,51.12696759259259,4.4880261477059555,1.013198478376812,0.5471551499633145,0.004009121142971783
scalability,scalability,ego_only,ego_only,Ego-only,exhaustive_hop,degraded_ego,60,12,48,"7,11,13",True,False,0.026041666666666668,0.3488136574074075,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026041666666666668
scalability,scalability,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,degraded_ego,60,12,48,"7,11,13",True,False,0.7633101851851852,0.9374999999999998,53.583333333333336,53.583333333333336,54.583333333333336,80.11111111111111,0.0,244.24427801034653,159.10833333333332,85.13594467701321,8.509412592335535,1.3419058289502503,0.0031251916786064907
scalability,scalability,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,degraded_ego,60,12,48,"7,11,13",True,True,0.15335648148148148,0.6221064814814814,4.22337962962963,8.17824074074074,9.230902777777779,35.38078703703704,8.17824074074074,59.614118661155935,52.798668981481484,5.997625605600376,1.1311810952324952,0.6179490876173855,0.002572485929938058
scalability,scalability,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,degraded_ego,60,12,48,"7,11,13",True,True,0.13541666666666666,0.6046006944444445,4.0196759259259265,8.17824074074074,9.230902777777779,35.38078703703704,8.17824074074074,59.31602479485592,52.798668981481484,5.699531739300356,1.0883930871970167,0.6052188727058228,0.002282969351621325
scalability,scalability,ego_only,ego_only,Ego-only,exhaustive_hop,ambiguous_local_context,60,12,48,"7,11,13",True,False,0.057291666666666664,0.4674479166666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057291666666666664
scalability,scalability,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,ambiguous_local_context,60,12,48,"7,11,13",True,False,0.7424768518518519,0.9304108796296295,53.30555555555556,53.30555555555556,54.30555555555556,77.75,0.0,239.12383146135173,154.96805555555557,84.15577590579615,8.482070282487129,1.3124869336314007,0.0031049889394727864
scalability,scalability,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,ambiguous_local_context,60,12,48,"7,11,13",True,True,0.13599537037037035,0.6076388888888888,3.3321759259259256,8.0,9.0,34.51793981481482,8.0,57.12397211136884,51.485040509259264,4.838931602109584,1.0412156992095314,0.6191968860012174,0.0023807057762936005
scalability,scalability,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,ambiguous_local_context,60,12,48,"7,11,13",True,True,0.12037037037037039,0.5912905092592592,2.924189814814815,8.0,9.0,34.51793981481482,8.0,56.49760185023877,51.485040509259264,4.212561340979509,0.9000997067704449,0.5886969927425519,0.0021305394641252667
scalability,scalability,ego_only,ego_only,Ego-only,exhaustive_hop,noisy_untrusted_external,60,12,48,"7,11,13",True,False,0.08333333333333334,0.5069444444444445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334
