experiment_tag,run_type,policy_id,policy,policy_label,discovery_mode,scenario,graph_size,episodes,timesteps,seeds,adaptive_enabled,bounded_discovery_enabled,base_policy,OCA,MVA,Macro_F1_mean,mean_sources,mean_discovered_candidate_count,mean_visited_node_count,mean_traversed_edge_count,mean_scored_candidate_count,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,OCA_per_total_cost,adaptive_activation_rate
discovery_mode_comparison,discovery_mode_comparison,siot_aware_exhaustive_discovery,siot_aware_exhaustive_discovery,SIoT-aware exhaustive discovery,exhaustive_hop,nominal,60,20,48,"7,11,13",True,False,siot_aware,0.23611111111111108,0.6826388888888888,0.6377566218521268,3.207986111111111,34.11631944444445,35.11631944444444,41.47118055555555,34.11631944444445,86.90407986111111,4.6432450245476335,34.11631944444445,94.9589568301032,0.5715352856188464,1.0482655678744315,0.0024864543482038424,0.1586805555555556
discovery_mode_comparison,discovery_mode_comparison,siot_aware_bounded_discovery,siot_aware_bounded_discovery,SIoT-aware bounded discovery,bounded_relationship_guided,nominal,60,20,48,"7,11,13",True,True,siot_aware,0.23576388888888886,0.6826388888888888,0.6376151604966038,3.2031250000000004,8.147569444444445,9.344444444444445,33.89513888888889,8.147569444444445,50.91743055555556,4.6367352044698125,8.147569444444445,56.3689227044698,0.571504957243559,1.0477983479810158,0.004182515428314082,0.1586805555555556
discovery_mode_comparison,discovery_mode_comparison,siot_aware_trust_privacy_exhaustive_discovery,siot_aware_trust_privacy_exhaustive_discovery,Privacy-aware SIoT exhaustive discovery,exhaustive_hop,nominal,60,20,48,"7,11,13",True,False,siot_aware_trust_privacy,0.22395833333333331,0.6720486111111111,0.6268315650568388,3.0239583333333337,34.11631944444445,35.11631944444444,41.47118055555555,34.11631944444445,86.90407986111111,4.359437459651883,34.11631944444445,94.67514926520742,0.5580182704783156,0.9818006571009069,0.002365545077789877,0.1586805555555556
discovery_mode_comparison,discovery_mode_comparison,siot_aware_trust_privacy_bounded_discovery,siot_aware_trust_privacy_bounded_discovery,Privacy-aware SIoT bounded discovery,bounded_relationship_guided,nominal,60,20,48,"7,11,13",True,True,siot_aware_trust_privacy,0.2236111111111111,0.6719618055555556,0.6267091412217134,3.021527777777778,8.147569444444445,9.344444444444445,33.89513888888889,8.147569444444445,50.91743055555556,4.356109757164222,8.147569444444445,56.088297257164214,0.5580962444818094,0.9814016142026231,0.003986769469678437,0.1586805555555556
discovery_mode_comparison,discovery_mode_comparison,siot_aware_exhaustive_discovery,siot_aware_exhaustive_discovery,SIoT-aware exhaustive discovery,exhaustive_hop,degraded_ego,60,20,48,"7,11,13",True,False,siot_aware,0.14861111111111117,0.6149305555555554,0.5904617148517689,4.220833333333334,46.94965277777778,47.94965277777778,66.8451388888889,46.94965277777778,134.2403472222222,5.990571899748692,46.94965277777778,144.92588439974867,0.6161237495505247,1.1295437184572448,0.0010254283541316716,0.7086805555555556
discovery_mode_comparison,discovery_mode_comparison,siot_aware_bounded_discovery,siot_aware_bounded_discovery,SIoT-aware bounded discovery,bounded_relationship_guided,degraded_ego,60,20,48,"7,11,13",True,True,siot_aware,0.1475694444444445,0.6122395833333332,0.587921184936533,4.183333333333334,8.225,9.283333333333333,35.358333333333334,8.225,52.723125,5.937505597838947,8.225,59.48313059783895,0.6138807266809818,1.1257642599873319,0.0024808621026043602,0.7086805555555556
discovery_mode_comparison,discovery_mode_comparison,siot_aware_trust_privacy_exhaustive_discovery,siot_aware_trust_privacy_exhaustive_discovery,Privacy-aware SIoT exhaustive discovery,exhaustive_hop,degraded_ego,60,20,48,"7,11,13",True,False,siot_aware_trust_privacy,0.13124999999999998,0.5961805555555555,0.5711674595476756,3.9690972222222225,46.94965277777778,47.94965277777778,66.8451388888889,46.94965277777778,134.2403472222222,5.627299864917519,46.94965277777778,144.56261236491756,0.6050167291488339,1.0746494118200518,0.0009079110971562085,0.7086805555555556
discovery_mode_comparison,discovery_mode_comparison,siot_aware_trust_privacy_bounded_discovery,siot_aware_trust_privacy_bounded_discovery,Privacy-aware SIoT bounded discovery,bounded_relationship_guided,degraded_ego,60,20,48,"7,11,13",True,True,siot_aware_trust_privacy,0.13124999999999998,0.5961805555555555,0.5711674595476756,3.9690972222222225,8.225,9.283333333333333,35.358333333333334,8.225,52.723125,5.627299864917519,8.225,59.17292486491752,0.6050167291488339,1.0746494118200518,0.0022180752480906274,0.7086805555555556
discovery_mode_comparison,discovery_mode_comparison,siot_aware_exhaustive_discovery,siot_aware_exhaustive_discovery,SIoT-aware exhaustive discovery,exhaustive_hop,ambiguous_local_context,60,20,48,"7,11,13",True,False,siot_aware,0.140625,0.6105034722222222,0.5760641670924258,3.370138888888889,36.30902777777778,37.30902777777778,46.16631944444445,36.30902777777778,95.50244791666663,4.89018413805183,36.30902777777778,104.02353483249628,0.6104769248909838,1.0547915995836186,0.0013518575409539886,0.25763888888888886
discovery_mode_comparison,discovery_mode_comparison,siot_aware_bounded_discovery,siot_aware_bounded_discovery,SIoT-aware bounded discovery,bounded_relationship_guided,ambiguous_local_context,60,20,48,"7,11,13",True,True,siot_aware,0.14027777777777778,0.6095486111111111,0.5750601143684964,3.357638888888889,8.153472222222224,9.347569444444446,34.77013888888889,8.153472222222224,52.13989583333334,4.87322015115222,8.153472222222224,57.82846320670779,0.6100952986894094,1.0538338062829389,0.002425756625700998,0.25763888888888886
